"id","ts"
"35-37-Pine-St-Ct,-Springfield,-MA-01105","2026-06-21 16:30:25"
"59-Jamestown-Dr,-Unit-59,-Springfield,-MA-01108","2026-06-21 16:30:25"
"153-Edgewood-Ave,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"9-Woodcliff-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"106-Suffolk-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"46-Rochford-Cir,-Springfield,-MA-01128","2026-06-21 16:30:25"
"15-Monticello-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"73-Regency-Park-Dr,-Unit-73,-Agawam,-MA-01001","2026-06-21 16:30:25"
"38-Oxford-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"881-Roosevelt-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"232-Almira-Rd,-Springfield,-MA-01119","2026-06-21 16:30:25"
"282-Regency-Park-Dr,-Unit-282,-Agawam,-MA-01001","2026-06-21 16:30:25"
"73-Catalpa-Ter,-Springfield,-MA-01119","2026-06-21 16:30:25"
"15-Lucerne-Rd,-Springfield,-MA-01119","2026-06-21 16:30:25"
"415-Maple-St,-Springfield,-MA-01105","2026-06-21 16:30:25"
"29-Englewood-Rd,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"82-Biltmore-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"205-St-James-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"17-Raymond-Dr,-Wilbraham,-MA-01095","2026-06-21 16:30:25"
"634-636-Dickinson-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"47-Fenway-Dr,-Springfield,-MA-01119","2026-06-21 16:30:25"
"14-Duggan-Cir,-Springfield,-MA-01119","2026-06-21 16:30:25"
"72-Hall-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"629-River-Rd,-Agawam,-MA-01001","2026-06-21 16:30:25"
"20-Entrybrook-Dr,-Springfield,-MA-01108","2026-06-21 16:30:25"
"32-Crestmont-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"620-Roosevelt-Ave,-Springfield,-MA-01118","2026-06-21 16:30:25"
"252-Pinewood-Dr,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"69-Alhambra-Cir-S,-Agawam,-MA-01001","2026-06-21 16:30:25"
"120-122-Firglade-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"556-S-Main-St,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"573-S-Main-St,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"Huckle-Hill-Rd,-Vernon,-VT-05354","2026-06-21 16:30:25"
"39-Atwood-St,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"175-Sak-Rd,-Vernon,-VT-05354","2026-06-21 16:30:25"
"171-Green-Meadow-Rd,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"550-S-Main-St,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"18-Lindy-Rd,-Vernon,-VT-05354","2026-06-21 16:30:25"
"1644-Upper-Dummerston-Rd,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"4-Reservoir-Rd,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"243-Newton-Rd,-Vernon,-VT-05354","2026-06-21 16:30:25"
"120-Carriage-Hill-Rd,-Brattleboro,-VT-05301","2026-06-21 16:30:25"
"Old-Hinsdale-Rd,-Winchester,-NH-03470","2026-06-21 16:30:25"
"549-West-St,-Keene,-NH-03431","2026-06-21 16:30:25"
"69-Plumb-Pak-Dr,-Winchester,-NH-03470","2026-06-21 16:30:25"
"Map-6-Opportunity-Dr,-Lot-15-7,-Winchester,-NH-03470","2026-06-21 16:30:25"
